frame	nonbackground_ratio
frame_0015.png	0.162309
frame_0035.png	0.995972
frame_0055.png	0.227743
frame_0075.png	0.237222
frame_0095.png	0.107500
frame_0115.png	0.152431
frame_0135.png	0.242049
frame_0155.png	0.206441
frame_0175.png	0.129531
frame_0195.png	0.251927
frame_0215.png	0.309635
frame_0235.png	0.163316
frame_0255.png	0.175243
frame_0275.png	0.120052
frame_0295.png	0.173264
frame_0315.png	0.182326
frame_0335.png	0.147101
frame_0355.png	0.180799
frame_0375.png	0.119045
frame_0395.png	0.100955
frame_0415.png	0.121719
frame_0435.png	0.135677
frame_0455.png	0.189861
frame_0475.png	0.002396
frame_0495.png	0.183663
frame_0515.png	0.189462
frame_0535.png	0.144497
frame_0555.png	0.104740
frame_0575.png	0.137795
frame_0595.png	0.137778
frame_0615.png	0.077917
frame_0635.png	0.104583
frame_0655.png	0.133993
frame_0675.png	0.078038
frame_0695.png	0.165347
frame_0715.png	0.165347
frame_0735.png	0.127326
frame_0755.png	0.137135
frame_0775.png	0.091076
frame_0795.png	0.000000
frame_0815.png	0.109271
frame_0835.png	0.147083
frame_0855.png	0.161181
frame_0875.png	0.089635
frame_0895.png	0.144670
frame_0915.png	0.144948
frame_0945.png	0.150017
frame_0975.png	0.158021
