frame	nonbackground_ratio
frame_0010.png	0.099167
frame_0028.png	0.054028
frame_0046.png	0.210781
frame_0064.png	0.236910
frame_0082.png	0.210208
frame_0100.png	0.127326
frame_0118.png	0.130694
frame_0120.png	0.089965
frame_0136.png	0.152969
frame_0154.png	0.135747
frame_0172.png	0.129531
frame_0190.png	0.130017
frame_0208.png	0.160104
frame_0226.png	0.141406
frame_0244.png	0.162257
frame_0262.png	0.150226
frame_0280.png	0.120052
frame_0298.png	0.141406
frame_0300.png	0.129219
frame_0316.png	0.143003
frame_0334.png	0.147083
frame_0352.png	0.132378
frame_0370.png	0.111979
frame_0388.png	0.140712
frame_0406.png	0.108333
frame_0424.png	0.092622
frame_0442.png	0.155868
frame_0460.png	0.178837
frame_0478.png	0.142535
frame_0496.png	0.183663
frame_0514.png	0.189462
frame_0532.png	0.144497
frame_0550.png	0.100990
frame_0568.png	0.125677
frame_0586.png	0.136111
frame_0604.png	0.136111
frame_0622.png	0.109931
frame_0640.png	0.133819
frame_0650.png	0.133958
frame_0658.png	0.133906
frame_0676.png	0.133872
frame_0694.png	0.151788
frame_0710.png	0.151997
frame_0712.png	0.142361
frame_0730.png	0.996510
frame_0748.png	0.127569
frame_0766.png	0.156580
frame_0784.png	0.144913
frame_0802.png	0.996927
frame_0820.png	0.107326
frame_0838.png	0.135052
frame_0850.png	0.143142
frame_0856.png	0.154844
frame_0874.png	0.997292
frame_0892.png	0.136684
frame_0910.png	0.138125
frame_0928.png	0.131771
frame_0946.png	0.134306
frame_0964.png	0.153594
frame_0982.png	0.148819
