frame	nonbackground_ratio
frame_002.png	0.047413
frame_006.png	0.120469
frame_010.png	0.174097
frame_014.png	0.187066
frame_018.png	0.147656
frame_022.png	0.123941
frame_026.png	0.158958
frame_030.png	0.163420
frame_034.png	0.166823
frame_038.png	0.139948
frame_042.png	0.166528
frame_046.png	0.177257
frame_050.png	0.152691
frame_054.png	0.127882
frame_058.png	0.158073
frame_062.png	0.152049
frame_066.png	0.139010
frame_070.png	0.118628
frame_074.png	0.175330
frame_078.png	0.140156
frame_082.png	0.177552
frame_086.png	0.161181
frame_090.png	0.159583
frame_094.png	0.114531
frame_098.png	0.115538
