frame	nonbackground_ratio
frame_00_0005.85s.png	0.125816
frame_01_0012.46s.png	0.131823
frame_02_0019.07s.png	0.104583
frame_03_0025.69s.png	0.233767
frame_04_0032.30s.png	0.242795
frame_05_0038.91s.png	0.215139
frame_06_0045.53s.png	0.182882
frame_07_0052.14s.png	0.130035
frame_08_0058.76s.png	0.077778
frame_09_0065.37s.png	0.191128
frame_10_0071.98s.png	0.175174
frame_11_0078.60s.png	0.189931
frame_12_0085.21s.png	0.129531
frame_13_0091.83s.png	0.092587
frame_14_0098.44s.png	0.197813
frame_15_0105.05s.png	0.198090
frame_16_0111.67s.png	0.141406
frame_17_0118.28s.png	0.191892
frame_18_0124.89s.png	0.168003
frame_19_0131.51s.png	0.100868
frame_20_0138.12s.png	0.136146
frame_21_0144.74s.png	0.166354
frame_22_0151.35s.png	0.161181
frame_23_0157.96s.png	0.092587
frame_24_0164.58s.png	0.147101
frame_25_0171.19s.png	0.163472
frame_26_0177.81s.png	0.167031
frame_27_0184.42s.png	0.116181
frame_28_0191.03s.png	0.140712
frame_29_0197.65s.png	0.165608
frame_30_0204.26s.png	0.110677
frame_31_0210.87s.png	0.133958
frame_32_0217.49s.png	0.155868
frame_33_0224.10s.png	0.183819
frame_34_0230.72s.png	0.000000
frame_35_0237.33s.png	0.180278
frame_36_0243.94s.png	0.183663
frame_37_0250.56s.png	0.189462
frame_38_0257.17s.png	0.089774
frame_39_0263.79s.png	0.144497
frame_40_0270.40s.png	0.101962
frame_41_0277.01s.png	0.118802
frame_42_0283.63s.png	0.131094
frame_43_0290.24s.png	0.129861
frame_44_0296.85s.png	0.129861
frame_45_0303.47s.png	0.110833
frame_46_0310.08s.png	0.120885
frame_47_0316.70s.png	0.117795
frame_48_0323.31s.png	0.130312
frame_49_0329.92s.png	0.130312
frame_50_0336.54s.png	0.146146
frame_51_0343.15s.png	0.136771
frame_52_0349.77s.png	0.157170
frame_53_0356.38s.png	0.996510
frame_54_0362.99s.png	0.127569
frame_55_0369.61s.png	0.137135
frame_56_0376.22s.png	0.112587
frame_57_0382.83s.png	0.142101
frame_58_0389.45s.png	0.003073
frame_59_0396.06s.png	0.098490
frame_60_0402.68s.png	0.118889
frame_61_0409.29s.png	0.140503
frame_62_0415.90s.png	0.155990
frame_63_0422.52s.png	0.160399
frame_64_0429.13s.png	0.101146
frame_65_0435.75s.png	0.110521
frame_66_0442.36s.png	0.134896
frame_67_0448.97s.png	0.134878
frame_68_0455.59s.png	0.138142
frame_69_0462.20s.png	0.136701
frame_70_0468.81s.png	0.150486
frame_71_0475.43s.png	0.133368
